@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
80,'2024/11/10 16:14:53:517',2,0.456316,0.316355,0.49741,0.318834,0.55089,0.316391,0.591635,0.309851,0.525773,0.414992,0.523941,0.260709,0.486045,0.462949,0.562112,0.46303,0.524747,0.470399,0.524571,0.476768,0.55,0.15,0
81,'2024/11/10 16:14:53:550',2,0.456618,0.315653,0.497727,0.318537,0.550794,0.316261,0.591434,0.309533,0.526085,0.415133,0.524174,0.260554,0.485792,0.462661,0.56235,0.463106,0.52483,0.469921,0.524677,0.477647,0.55,0.15,0
82,'2024/11/10 16:14:53:583',2,0.456698,0.316249,0.497778,0.318556,0.550744,0.31607,0.591179,0.309428,0.52663,0.41429,0.524238,0.26008,0.486081,0.46246,0.56287,0.462142,0.525389,0.468548,0.525249,0.477835,0.55,0.15,0
83,'2024/11/10 16:14:53:617',2,0.456789,0.315639,0.497934,0.31804,0.550843,0.31596,0.59133,0.309795,0.526555,0.414444,0.524507,0.259964,0.485932,0.461063,0.563885,0.460509,0.525608,0.467322,0.525459,0.476649,0.55,0.15,0
84,'2024/11/10 16:14:53:650',2,0.456408,0.315086,0.49768,0.31733,0.551192,0.315278,0.59187,0.309353,0.526558,0.413685,0.524522,0.259225,0.485659,0.461242,0.563105,0.461484,0.52525,0.46817,0.525036,0.475904,0.55,0.15,0
85,'2024/11/10 16:14:53:683',2,0.456542,0.315357,0.497719,0.317327,0.551059,0.314978,0.5917,0.309042,0.526383,0.413104,0.524426,0.259964,0.485859,0.460876,0.562448,0.461063,0.525047,0.467984,0.524787,0.474614,0.55,0.15,0
86,'2024/11/10 16:14:53:716',2,0.456773,0.315023,0.497775,0.317088,0.550971,0.314865,0.591465,0.308997,0.526512,0.413566,0.524385,0.259747,0.486521,0.461506,0.562672,0.461245,0.525453,0.468719,0.525272,0.474891,0.55,0.15,0
87,'2024/11/10 16:14:53:749',2,0.456338,0.315385,0.497347,0.317322,0.550713,0.315015,0.591271,0.309167,0.526019,0.412683,0.523972,0.259589,0.486088,0.461304,0.562504,0.461225,0.525039,0.468141,0.524812,0.474306,0.55,0.15,0
88,'2024/11/10 16:14:53:783',2,0.456432,0.315647,0.497519,0.317413,0.550537,0.314849,0.591147,0.308796,0.5262,0.412774,0.523975,0.259194,0.485994,0.461393,0.562652,0.461019,0.525128,0.467872,0.524925,0.474594,0.55,0.15,0
89,'2024/11/10 16:14:53:816',2,0.456253,0.315097,0.497275,0.317048,0.550569,0.314556,0.591243,0.308417,0.525799,0.412423,0.523841,0.258935,0.485704,0.460972,0.562427,0.460621,0.524812,0.467236,0.524591,0.474488,0.55,0.15,0
